student_id,id,title,level,date,module,genre family,discipline,disciplinary group,grade,words,s-units,p-units,tables,figures,block quotes,formulae,lists,listlikes,abstract,w/s,s/p,macrotype,gender,year of birth,L1,education (UKA: all secondary education in UK; Ukn: n years of secondary education in UK; OSA: all secondary education overseas),course,number_of_texts,complex
3,0003f,In what way did the German humanists prepare the ground for the Reformation?,2.0,4/1/06,Germany in the Age of the Reformation,essay,History,AH,M,2011.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9,4.2,simple assignment,m,1984,Dutch,OSA,History,1.0,0
3,0003g,How useful is it to separate the 'form' of social life from its 'content'?,2.0,12/1/05,Theoretical Ideas in Sociology,essay,Sociology,SS,M,2463.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,5.6,simple assignment,m,1984,Dutch,OSA,Sociology,1.0,0
3,0003i,"Analyze and assess the relationship between revolution and democracy in the works and deeds of Karl Marx / Friedrich Engels, Vladimir I. Lenin and Joseph Stalin.",1.0,1/1/05,Making of the Modern World,essay,History,AH,M,1739.0,54.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,3.9,simple assignment,m,1984,Dutch,OSA,History,1.0,0
3,0003j,"Is Rousseau's Social Contract more convincingly seen as a text of liberal, or of totalitarian democracy?",1.0,5/1/05,Making of the Modern World,essay,History,AH,M,1929.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9,4.7,simple assignment,m,1984,Dutch,OSA,History,1.0,0
3,0003l,Why did workers rather than communist reformers spearhead the Polish Solidarity movement of 1980-81?,2.0,3/1/06,Eastern Europe Since 1918,essay,History,AH,M,2248.0,50.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,4.5,simple assignment,m,1984,Dutch,OSA,History,1.0,0
3,0003p,Why did the British suffragettes make the female body into a site of political conflict?,1.0,2/1/05,"Gender, Class and Empire",essay,Sociology,SS,M,1544.0,59.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,5.4,simple assignment,m,1984,Dutch,OSA,Sociology,1.0,0
4,0004a,How is the Construction of Gender Identities Related to Imperialism and Racism? Discuss With Particular Reference to Ideas About 'White Manhood' in the Adventure Story of Late Nineteenth Century Britain,1.0,3/1/03,"Gender, Class and Empire",essay,Sociology,SS,M,1545.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,5.8,simple assignment,m,1984,English,UKA,Sociology,1.0,0
4,0004b,"Having a View About the Nature of Social Reality is not an Option'. What is your Own View Now, Towards the End of the Course, and What Has Persuaded you to Adopt it?",1.0,4/1/03,Sociological Imagination and Investigation,essay,Sociology,SS,D,2043.0,68.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.6,simple assignment,m,1984,English,UKA,Sociology,1.0,0
4,0004c,Critically Evaluate the Assertion that Sporting Practices and their Associated Subcultures Bear no Relation Whatsoever to the Social Construction of Masculine Ideals,2.0,4/1/04,Social Construction of Masculinities,essay,Sociology,SS,M,3309.0,89.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2,7.4,simple assignment,m,1984,English,UKA,Sociology,1.0,0
5,0005a,To what extent is class no longer an operative word in historical anaylsis?,4.0,4/1/04,"Historical Research: Theory, Skill and Method I",essay,History,AH,M,2700.0,120.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,10.0,simple assignment,m,1982,English,UKA,History,1.0,0
5,0005c,Vehicle of Propaganda or Agent of Subversion? Cold War Hollywood Bomb Cinema 1950-1963.,4.0,1/1/04,Rethinking Cold War Cultures,essay,History,AH,D,5147.0,171.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.1,7.1,simple assignment,m,1982,English,UKA,History,1.0,0
10,0010a,Account for the failure of the 1905 Revolution?,2.0,12/1/04,History of Russia from 1881,essay,History,AH,M,2356.0,79.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,7.2,simple assignment,f,1984,English,UKA,History and Sociology,1.0,0
10,0010b,Account for the rise of Stalin in the 1920's,2.0,3/1/04,History of Russia from 1881,essay,History,AH,M,2314.0,65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,6.5,simple assignment,f,1984,English,UKA,History and Sociology,1.0,0
10,0010c,Marriage was the hinge upon which the demographic regime turned.' Discuss.,2.0,6/1/04,"Social History of England, 1500-1700",essay,History,AH,D,4336.0,91.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,6.5,simple assignment,f,1984,English,UKA,History and Sociology,1.0,0
10,0010d,How should we explain the gap between theory and practice in the social position of women in early modern England?,2.0,3/1/04,"Social History of England, 1500-1700",essay,History,AH,D,2523.0,58.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,4.8,simple assignment,f,1984,English,UKA,History and Sociology,1.0,0
10,0010e,How Marxist Is Habermas's work? How convincing is the ideal speech situation as a means of emancipation?,2.0,2/1/04,Theoretical Ideas in Sociology,essay,Sociology,SS,D,2175.0,92.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,10.2,simple assignment,f,1984,English,UKA,Sociology,1.0,0
12,0012a,Do Twentieth Century Massacres Share Common Characteristics?,1.0,4/1/04,Making of the Modern World,essay,History,AH,D,1895.0,55.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,7.9,simple assignment,f,1984,English,UKA,History,1.0,0
12,0012b,"What, if anything, does Oscar Wilde's Portrait of Dorian Gray Owe to Cesare Lombroso?",1.0,4/1/04,Disease and Culture: from the Black Death to Aids,essay,History,AH,D,1320.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,6.4,simple assignment,f,1984,English,UKA,History,1.0,0
12,0012d,Why did the East Asian economy grow more slowly than the European economy by 1800?,2.0,5/1/05,Galleons and Caravans,essay,History,AH,M,4515.0,160.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.2,8.9,simple assignment,f,1984,English,UKA,History,1.0,1
13,0013a,The Impact of the Black Death has been Greatly Exaggerated.' Discuss.,1.0,11/1/03,The Medieval World,essay,History,AH,M,1966.0,106.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,8.8,simple assignment,f,1985,English,UKA,History,1.0,0
13,0013b,The importance of Florence in the development of the Italian Renaissance has been exaggerated'. Discuss.,1.0,5/1/04,The Medieval World,essay,History,AH,D,4644.0,241.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,8.9,simple assignment,f,1985,English,UKA,History,1.0,0
13,0013c,Did Darwin's Theory of Evolution Counter the Romantic View of Nature?,1.0,1/1/04,Making of the Modern World,essay,History,AH,M,1502.0,85.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.7,7.7,simple assignment,f,1985,English,UKA,History,1.0,0
13,0013d,Was migration into early modern London driven more by 'push' or 'pull' factors?,2.0,2/1/05,"Social History of England, 1500-1700",essay,History,AH,M,2181.0,121.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.1,simple assignment,f,1985,English,UKA,History,1.0,0
15,0015a,The real struggle in the period 1918-1921 was between the Bolsheviks and the popular movement rather than between the Bolsheviks and the Whites.' Discuss.,1.0,1/1/05,History of Russia from 1881,essay,History,AH,M,1787.0,86.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.8,7.8,simple assignment,f,1986,English,UKA,History,1.0,0
15,0015b,Soviet victory over Nazi Germany owes more to the efforts of the Russian people than to those of their government.' Discuss.,1.0,3/1/05,History of Russia from 1881,essay,History,AH,M,2234.0,123.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,7.7,simple assignment,f,1986,English,UKA,History,1.0,0
19,0019a,How should the Holocaust be memorialised?,1.0,4/1/04,Making of the Modern World,essay,History,AH,D,2099.0,73.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,6.1,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019b,Was European imperialism primarily an economic or a cultural phenomenon?,1.0,4/1/04,Making of the Modern World,essay,History,AH,D,2128.0,64.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,4.6,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019c,Did the Enlightenment necessarily imply Revolution?,1.0,11/1/05,The Making of the Modern World,essay,History,AH,M,1751.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,6.1,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019d,Discuss the view of J. C. Davis that the 'Ranters' were inventions of seventeenth century conservatives and twentieth century Marxists.,3.0,11/1/05,Radicalism in the eng Revolution,essay,History,AH,M,2269.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,6.6,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019e,What is the nature of Gerrard Winstanley's religious outlook in The New Law of Righteousness 1649?,3.0,2/1/06,Radicalism in the eng Revolution,essay,History,AH,D,1999.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,6.4,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019f,What was 'wrong' with the Church on the eve of the Reformation?,2.0,11/1/04,The European World 1500-1720,essay,History,AH,M,2031.0,56.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,4.7,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019g,Why were Chinese luxury goods of so much fascination to seventeenth and eighteenth century Europeans?,3.0,11/1/05,Luxury and Pleasure,essay,History,AH,M,2041.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,6.1,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019h,What were the implications of the eighteenth and late nineteenth century luxury debates?,3.0,2/1/02,Luxury and Pleasure,essay,History,AH,D,2069.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,6.3,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019i,Did Hitler's 'charismatic rule' make the Third Reich stronger or weaker as a dictatorship?,1.0,2/1/04,History of Germany From 1862 to Present,essay,History,AH,M,2044.0,67.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,6.7,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
19,0019j,How important was the role of the West in the social unrests of the 19th Century?,2.0,11/1/04,Dragon's Ascent: The Rise of Modern China: 1550 to Present Day,essay,History,AH,M,2487.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,5.3,simple assignment,f,1984,English,OSA,History &amp; Politics,1.0,0
26,0026b,Is the Cartesian committed to the thesis that it must be possible to make independently intelligible what is meant by identity and difference of human consciousness,1.0,1/1/05,Doing Philosophy,essay,Philosophy,AH,M,1471.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,4.8,simple assignment,m,1984,English,UKA,Philosophy,1.0,0
29,0029a,What was revolutionary about the French Revolution?,1.0,11/1/03,Making of the Modern World,essay,History,AH,M,1563.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,6.0,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029b,The Bolsheviks were successful in their quest for power in 1917 because they enjoyed popular support.' Discuss.,1.0,5/1/04,History of Russia from 1881,essay,History,AH,M,5059.0,164.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,30.8,12.6,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029e,Do Western understandings of Asia continue to be informed by Orientalist assumptions?,3.0,1/1/05,Historiography,essay,History,AH,M,1896.0,88.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,8.8,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029f,Does Ranke deserve the title 'father of scientific history'?,3.0,3/1/06,Historiography,essay,History,AH,M,2018.0,73.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,7.3,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029h,What factors account for the failure of the Church Missionary Society's Wellington Valley Mission?,3.0,11/1/05,Antipodean Encounters,essay,History,AH,M,2025.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.5,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029i,How much did the early Reformation in Germany owe to Martin Luther's personality and ideas?,2.0,3/1/05,The European World 1500-1720,essay,History,AH,M,5138.0,217.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.7,8.0,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029j,Why was Calvinism the most successful brand of Protestantism in later sixteenth Century Europe?,2.0,3/1/06,The European World 1500-1720,essay,History,AH,M,2199.0,70.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.4,3.7,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029k,To what extent was there an inconsistent depiction of extra-European peoples by Europeans after their initial contact in the New World?,2.0,11/1/04,The European World 1500-1720,essay,History,AH,M,2313.0,83.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.9,8.3,simple assignment,m,1984,English,UKA,History,1.0,0
29,0029o,In what ways and to what extent did an Enlightenment world-view shape life in colonial New South Wales from c. 1788-1850?,3.0,11/1/05,Antipodean Encounters,essay,History,AH,M,2375.0,75.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.7,9.4,simple assignment,m,1984,English,UKA,History,1.0,0
30,0030a,Was India enriched or impoverished by British colonial rule?,1.0,12/1/03,Making of the Modern World,essay,History,AH,M,2232.0,105.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,6.6,simple assignment,m,1983,English,UKA,History,1.0,0
30,0030b,In what ways did the development of connections between East and West contribute to divergence from the later eighteenth century?,1.0,12/1/04,Galleons and Caravans,essay,History,AH,M,2151.0,89.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,5.2,simple assignment,m,1983,English,UKA,History,1.0,0
34,0034a,"If Regionalism undermines the sovereignty of states, why do so many states join regional organisations?",1.0,2/1/05,World Politics,essay,Politics,SS,M,2163.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,11.5,simple assignment,m,1986,English,UKA,Politics,1.0,0
34,0034b,A gets B to do something that he or she would not otherwise do.' Does this sum up the essence of political power?,1.0,1/1/05,Introduction to Politics,essay,Politics,SS,M,1681.0,75.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,12.5,simple assignment,m,1986,English,UKA,Politics,1.0,0
34,0034c,Why is elite interviewing regarded as a research technique of particular relevance to politics? Discuss its particular strengths and limitations in relation to political research,1.0,2/1/05,Research Methods and Computing in Political Science,essay,Politics,SS,D,2855.0,136.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.6,simple assignment,m,1986,English,UKA,Politics,1.0,0
34,0034d,Prime Ministerial/Cabinet Government,2.0,10/1/05,Politics in the UK,essay,Politics,SS,M,1762.0,75.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.5,10.7,simple assignment,m,1986,English,UKA,Politics,1.0,1
34,0034e,To what extent was Europe 'secure' during the Cold War?,2.0,10/1/05,Europe: Politics and Ideas,essay,Politics,SS,M,2752.0,123.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,12.3,simple assignment,m,1986,English,UKA,Politics,1.0,0
38,0038a,"If the Way of Truth is true, why does Parmenides write the Way of Seeming?",1.0,11/1/04,Introduction to Ancient Philosophy,essay,Philosophy,AH,M,2306.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,7.5,simple assignment,f,1985,English,UKA,Philosophy &amp; Literature,1.0,0
38,0038c,"The lunatic, the lover, and the poet/Are of imagination all compact. Consider the relationship between poetry and truth in one or two of the following texts: The Republic, the Poetics, An Apology for Poetry, A Midsummer Night's Dream.",1.0,3/1/05,Problems in Philosophy and Literature,essay,Philosophy,AH,M,2359.0,105.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,11.7,simple assignment,f,1985,English,UKA,Philosophy &amp; Literature,1.0,0
39,0039a,How successfully did the Church impose its moral values on society in the period 1560-1640?,2.0,12/1/04,"Social History of England, 1500-1700",essay,History,AH,M,1863.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,7.0,simple assignment,m,1985,English,UKA,History &amp; Politics,1.0,0
39,0039d,War memorials and associated ceremonies are often intended to warn against war but end up glorifying it'. Discuss,1.0,5/1/04,Making of the Modern World,essay,History,AH,M,1776.0,60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,7.5,simple assignment,m,1985,English,UKA,History &amp; Politics,1.0,0
39,0039e,Was European Imperialism a violation or an integral component of liberal ideology?,1.0,11/1/03,Making of the Modern World,essay,History,AH,M,1636.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.1,simple assignment,m,1985,English,UKA,History &amp; Politics,1.0,0
39,0039f,Authority and servility of women in Early Modern marriages,2.0,5/1/05,"Social History of England, 1500-1700",essay,History,AH,M,4880.0,196.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,10.9,simple assignment,m,1985,English,UKA,History &amp; Politics,1.0,0
40,0040a,In what senses was there a commercial revolution in the thirteenth century?,1.0,3/1/03,The Medieval World,essay,History,AH,D,2679.0,99.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,9.9,simple assignment,m,1982,English,UKA,History,1.0,0
40,0040b,Can the witchcraft phenomenon still be interpreted as a 'persecution of women'?,2.0,6/1/04,"Social History of England, 1500-1700",essay,History,AH,M,4994.0,126.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,7.4,simple assignment,m,1982,English,UKA,History,1.0,0
40,0040c,Are you convinced by the view of the Levellers on franchise reform as expressed by McPherson in his Political Origins of Possessive Individualism?,3.0,6/1/05,Radicalism &amp; the eng Revolution,essay,History,AH,D,9087.0,238.0,54.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,38.2,4.4,simple assignment,m,1982,English,UKA,History,1.0,1
40,0040e,In what ways did Braudel conserve and in what ways contradict the Annales tradition?,3.0,3/1/05,Historiography,essay,History,AH,M,3532.0,91.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,8.3,simple assignment,m,1982,English,UKA,History,1.0,0
42,0042a,In what ways did the development of connections between East and West contribute to divergence from the later eighteenth century?,2.0,12/1/04,Galleons and Caravans,essay,History,AH,M,1719.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,6.1,simple assignment,m,1985,Hindi,UK2,History &amp; Politics,1.0,0
42,0042b,Discuss the relations between the East India Companies and Indian merchants in the development of trade between Asia and Europe.,2.0,3/1/05,Galleons and Caravans,essay,History,AH,D,1141.0,36.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,31.7,7.2,simple assignment,m,1985,Hindi,UK2,History &amp; Politics,1.0,0
42,0042c,Does Ranke deserve the title 'father of scientific history'?,3.0,11/1/05,Historiography,essay,History,AH,M,2165.0,51.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.5,3.9,simple assignment,m,1985,Hindi,UK2,History &amp; Politics,1.0,0
42,0042d,Do Western understandings of Asia continue to be informed by Orientalist assumptions?,3.0,3/1/06,Historiography,essay,History,AH,M,2100.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,4.8,simple assignment,m,1985,Hindi,UK2,History &amp; Politics,1.0,0
42,0042e,To what extent can the changing priorities and organisation of the English East India Company between 1757 and 1857 be explained by interactions with Indian elites?,1.0,6/1/05,Galleons and Caravans,essay,History,AH,M,4022.0,141.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,9.4,simple assignment,m,1985,Hindi,UK2,History &amp; Politics,1.0,0
44,0044a,The Impact of the Black Death has been exaggerated. Discuss,1.0,12/1/03,The Medieval World,essay,History,AH,D,2497.0,86.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.2,simple assignment,f,1985,English,UKA,History,1.0,0
44,0044b,The Growth and Elaboration of the rituals surrounding public execution in Early Modern England,2.0,3/1/05,"Social History of England, 1500-1700",essay,History,AH,D,4208.0,156.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,7.1,simple assignment,f,1985,English,UKA,History,1.0,0
50,0050a,How did medieval merchants solve the fundamental problem of exchange in long distance trade? What light does this shed on the prosperity of the Venetian Republic and Portugal before 1700?,1.0,11/1/04,World Economy: History &amp; Theory,essay,Economics,SS,M,1942.0,80.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.3,5.3,simple assignment,f,1986,Korean,UKA,"Economics, Politics and International Studies",1.0,0
50,0050b,What factors lead to the slowdown of the US economy in 2001? Have matters improved in 2004? Evaluate the risks of a downturn in 2005 if oil prices remain over $40 a barrel. What are the effects on the European and Asian economies?,1.0,11/1/04,Economics 1,essay,Economics,SS,M,1919.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,4.8,simple assignment,f,1986,Korean,UKA,"Economics, Politics and International Studies",1.0,0
53,0053a,"What accounts for the ""Golden Age"" of economic growth in Europe, roughly 1950-1973? Discuss both general issues affecting Europe as whole and specific issues affecting any one particular country.",1.0,3/1/05,Economics 1,essay,Economics,SS,D,1754.0,63.0,19.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,27.8,3.3,simple assignment,f,1985,English,OSA,"Economics, Politics and International Studies",1.0,1
53,0053b,Is it be the case that firms must maximize profits in order to survive?,1.0,4/1/05,World Economy: History &amp; Theory,essay,Economics,SS,D,2028.0,78.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,5.6,simple assignment,f,1985,English,OSA,"Economics, Politics and International Studies",1.0,0
53,0053d,It follows from the first theorem of welfare economics that the educational system would work more efficiently if schools were profit-motivated firms instead of state sector agents. Discuss.,2.0,12/1/05,Economics 2,essay,Economics,SS,M,2315.0,77.0,20.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,30.1,3.9,simple assignment,f,1985,English,OSA,"Economics, Politics and International Studies",1.0,0
55,0055b,What does Descartes mean by a 'real distinction' between mind and body? How does his argument for the real distinction work?,1.0,2/1/05,Descartes &amp; Locke,essay,Philosophy,AH,M,2062.0,66.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,13.2,simple assignment,f,1986,Turkish,OSA,"Philosophy, Politics and Economics",1.0,0
55,0055c,"What factors increase the level of unemployment in an economy? Use your analysis to explain the rise in European unemployment since 1980 and differing experience of the 'Big 4' (France, Italy, Germany, and Spain) and rest in 1990's",1.0,3/1/04,Economics 1,essay,Economics,SS,M,2007.0,83.0,21.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,24.2,4.0,simple assignment,f,1986,Turkish,OSA,"Philosophy, Politics and Economics",1.0,0
55,0055d,Do we need to solve the problem of induction?,1.0,6/1/05,Elements of Scientific Method,essay,Philosophy,AH,M,1329.0,75.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.7,10.7,simple assignment,f,1986,Turkish,OSA,"Philosophy, Politics and Economics",1.0,0
55,0055e,Explain and assess Locke's account of sense perception.,1.0,6/1/05,Descartes &amp; Locke,essay,Philosophy,AH,M,2234.0,91.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.5,11.4,simple assignment,f,1986,Turkish,OSA,"Philosophy, Politics and Economics",1.0,0
57,0057a,Must a subject/object-oriented conception of logic admit to the revisability of logic?,1.0,3/1/04,Introduction to Logic,essay,Philosophy,AH,D,1283.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,6.6,simple assignment,m,1983,Swedish,OSA,Philosophy and Psychology,1.0,1
57,0057b,What is involved in the project of 'naturalizing epistemology' according to W.V.O Quine?,1.0,3/1/04,Introduction to Philosophy,essay,Philosophy,AH,M,1115.0,49.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,4.5,simple assignment,m,1983,Swedish,OSA,Philosophy and Psychology,1.0,1
